Name,Year,Theme,Pieces,USD_MSRP,Current_Price
Cat's Playground,2013,Friends,31.0,4.99,6.8
Turtle's Little Oasis,2013,Friends,33.0,4.99,14.98
Hedgehog's Hideaway,2013,Friends,34.0,4.99,14.98
Poodle's Little Palace,2013,Friends,46.0,4.99,5.79
Bunny's Hutch,2013,Friends,37.0,4.99,5.99
Fawn's Forest,2013,Friends,35.0,4.99,7.5
Parrot's Perch,2013,Friends,32.0,4.99,9.192
Puppy's Playhouse,2013,Friends,39.0,4.99,5.0
4x4 Crawler Exclusive Edition ,2013,Technic,1585.0,199.99,525.0
Grand Prix Racer,2013,Technic,1141.0,129.99,216.5018
Mini Off-Roader,2013,Technic,100.0,12.99,19.98
Hovercraft,2013,Technic,170.0,19.99,40.0
Mini Backhoe Loader,2013,Technic,246.0,24.99,17.9305
Excavator,2013,Technic,720.0,79.99,200.0
Mobile Crane MK II,2013,Technic,2606.0,219.99,352.2896
FURNO XL,2013,HERO Factory,103.0,19.99,79.0
PYROX,2013,HERO Factory,50.0,12.99,20.0
SURGE,2013,HERO Factory,66.0,12.99,40.0
DRAGON BOLT,2013,HERO Factory,149.0,19.99,50.0
STORMER,2013,HERO Factory,69.0,12.99,29.1751
EVO,2013,HERO Factory,51.0,9.99,29.75
AQUAGON,2013,HERO Factory,41.0,9.99,22.3967
Tech Machines Set,2013,Education,95.0,239.95,299.95
EV3 Intelligent Brick,2013,Mindstorms,1.0,224.95,160.0
EV3 Ultrasonic Sensor,2013,Mindstorms,1.0,39.95,45.0
EV3 Gyro Sensor,2013,Mindstorms,1.0,34.99,29.99
EV3 Colour Sensor,2013,Mindstorms,1.0,49.95,44.99
Cable Pack,2013,Education,7.0,24.95,12.0
Fire Motorcycle,2013,City,40.0,6.99,7.3938
Fire Truck,2013,City,208.0,19.99,55.0
Fire Emergency,2013,City,301.0,39.99,40.0
Police ATV,2013,City,51.0,6.99,9.0
High Speed Chase,2013,City,283.0,29.99,41.1289
Museum Break-in,2013,City,563.0,69.99,120.0
Helicopter Arrest,2013,City,352.0,49.99,50.9105
Surfer Rescue,2013,City,32.0,6.99,12.0
Coast Guard 4x4 & Diving Boat,2013,City,128.0,19.99,25.0
Coast Guard Helicopter,2013,City,230.0,39.99,55.0
Coast Guard Patrol,2013,City,449.0,79.99,119.99
Coast Guard Plane,2013,City,279.0,44.99,72.406
Tanker Truck,2013,City,191.0,19.99,95.5031
Flatbed Truck,2013,City,212.0,19.99,50.0
Cement Mixer,2013,City,221.0,19.99,70.0
Cargo Truck,2013,City,321.0,39.99,59.95
Cargo Heliplane,2013,City,393.0,44.99,100.0
Cargo Terminal,2013,City,658.0,99.99,225.0
LEGO City Starter Set,2013,City,272.0,29.99,49.99
Grand Prix Truck,2013,City,315.0,29.99,103.7317
Monster Truck Transporter,2013,City,299.0,29.99,67.5
Razcal's Glider,2013,Legends of Chima,109.0,11.99,9.7053
Crawley's Claw Ripper,2013,Legends of Chima,139.0,14.99,14.5704
Lennox' Lion Attack,2013,Legends of Chima,230.0,24.99,24.85
Eris' Eagle Interceptor,2013,Legends of Chima,348.0,34.99,29.99
Wakz' Pack Tracker,2013,Legends of Chima,297.0,29.99,30.0
Cragger's Command Ship,2013,Legends of Chima,609.0,79.99,93.4917
Eglor's Twin Bike,2013,Legends of Chima,223.0,24.99,28.0
Gorzan's Gorilla Striker,2013,Legends of Chima,505.0,49.99,59.99
Worriz's Combat Lair,2013,Legends of Chima,664.0,69.99,84.0
The Lion CHI Temple,2013,Legends of Chima,1258.0,119.99,218.4
Eagles' Castle,2013,Legends of Chima,369.0,39.99,37.99
Razar's CHI Raider,2013,Legends of Chima,412.0,39.99,29.1158
Equila's Ultra Striker,2013,Legends of Chima,339.0,39.99,20.0
Ring of Fire,2013,Legends of Chima,83.0,14.99,9.918
Target Practice,2013,Legends of Chima,101.0,14.99,7.99
CHI Waterfall,2013,Legends of Chima,106.0,14.99,12.99
Boulder Bowling,2013,Legends of Chima,93.0,14.99,15.0
Jungle Gates,2013,Legends of Chima,81.0,14.99,8.0
Nest Dive,2013,Legends of Chima,97.0,14.99,7.0
Ice Tower,2013,Legends of Chima,101.0,14.99,7.49
Skunk Attack,2013,Legends of Chima,97.0,14.99,11.0974
Royal Roost,2013,Legends of Chima,105.0,14.99,17.0
Tower Target,2013,Legends of Chima,92.0,14.99,5.0
Swamp Jump,2013,Legends of Chima,91.0,14.99,11.0337
Croc Chomp,2013,Legends of Chima,105.0,14.99,15.99
CHI Battles,2013,Legends of Chima,92.0,19.99,10.5
Ultimate Speedor Tournament,2013,Legends of Chima,246.0,29.99,22.0
CHI Eris,2013,Legends of Chima,67.0,14.99,16.0463
CHI Gorzan,2013,Legends of Chima,59.0,14.99,21.8813
CHI Cragger,2013,Legends of Chima,65.0,14.99,21.8813
CHI Worriz,2013,Legends of Chima,55.0,14.99,32.822
Forest Ambush,2013,Castle,90.0,11.99,38.0
Gold Getaway,2013,Castle,199.0,19.99,50.0
The Gatehouse Raid,2013,Castle,248.0,29.99,119.99
Dragon Mountain,2013,Castle,376.0,49.99,190.0
King's Castle,2013,Castle,996.0,99.99,324.95
Kai's Fire Mech,2013,Ninjago,102.0,9.99,60.0
Cole's Earth Driller,2013,Ninjago,171.0,19.99,79.98
The Golden Dragon,2013,Ninjago,252.0,29.99,75.0
Garmatron,2013,Ninjago,328.0,39.99,142.3615
Temple of Light,2013,Ninjago,565.0,69.99,135.0
Space Swarmer,2013,Space,86.0,11.99,20.5303
Swarm Interceptor,2013,Space,218.0,19.99,48.95
Warp Stinger,2013,Space,310.0,29.99,37.047
Star Slicer,2013,Space,311.0,39.99,63.0
Vermin Vaporizer,2013,Space,506.0,59.99,76.99
Bug Obliterator,2013,Space,711.0,79.99,74.99
Crater Creeper,2013,Space,171.0,19.99,18.99
CLS-89 Eradicator Mech,2013,Space,440.0,39.99,70.0
Hive Crawler,2013,Space,560.0,69.99,100.0
Galactic Titan,2013,Space,1012.0,99.99,145.6874
Clone Troopers vs. Droidekas,2013,Star Wars,124.0,12.99,42.0
Republic Troopers vs. Sith Troopers,2013,Star Wars,63.0,12.99,50.0
AT-RT,2013,Star Wars,222.0,19.99,73.0
A-wing Starfighter,2013,Star Wars,177.0,24.99,75.0
Z-95 Headhunter,2013,Star Wars,373.0,49.99,230.68
Rancor Pit,2013,Star Wars,380.0,59.99,335.0
Jedi Starfighter & Planet Kamino,2013,Star Wars,61.0,9.99,30.0
Republic Assault Ship & Planet Coruscant,2013,Star Wars,74.0,9.99,33.0
TIE Bomber & Asteroid Field,2013,Star Wars,60.0,9.99,29.5284
BARC Speeder with Sidecar,2013,Star Wars,226.0,24.99,480.0758
Umbaran MHC (Mobile Heavy Cannon),2013,Star Wars,493.0,49.99,149.99
Battle of Hoth,2013,Star Wars,426.0,49.99,180.0
Corporate Alliance Tank Droid,2013,Star Wars,271.0,19.99,144.4889
Homing Spider Droid,2013,Star Wars,295.0,29.99,150.0
Duel on Geonosis,2013,Star Wars,391.0,39.99,290.0
JEK-14's Stealth Starfighter,2013,Star Wars,550.0,69.99,189.0
AT-TE ,2013,Star Wars,794.0,89.99,579.99
Jabba's Sail Barge,2013,Star Wars,850.0,119.99,410.0
Republic Gunship,2013,Star Wars,1175.0,119.99,514.6866
Mandalorian Speeder,2013,Star Wars,211.0,24.99,118.4695
Star Wars Advent Calendar,2013,Star Wars,254.0,39.99,74.6558
HH-87 Starhopper,2013,Star Wars,362.0,39.99,149.99
Jedi Defender-class Cruiser,2013,Star Wars,927.0,89.99,395.99
Arctic Batman vs. Mr. Freeze: Aquaman on Ice,2013,DC Comics Super Heroes,198.0,19.99,27.97
The Bat vs. Bane: Tumbler Chase,2013,DC Comics Super Heroes,368.0,39.99,65.0
Superman Metropolis Showdown,2013,DC Comics Super Heroes,119.0,12.99,14.6716
Superman: Battle of Smallville,2013,DC Comics Super Heroes,418.0,49.99,65.0
Spider-Man: Spider-Cycle Chase,2013,Marvel Super Heroes,237.0,19.99,36.0
Spider-Man: Daily Bugle Showdown,2013,Marvel Super Heroes,476.0,49.99,149.99
Iron Man: Extremis Sea Port Battle ,2013,Marvel Super Heroes,195.0,19.99,49.95
Iron Man: Malibu Mansion Attack,2013,Marvel Super Heroes,364.0,39.99,99.99
Iron Man vs. The Mandarin: Ultimate Showdown,2013,Marvel Super Heroes,91.0,12.99,39.0
Superman: Black Zero Escape,2013,DC Comics Super Heroes,168.0,19.99,29.99
The Wizard Battle,2013,The Lord of the Rings,113.0,12.99,60.2028
The Council of Elrond,2013,The Lord of the Rings,243.0,29.99,129.0
Battle at the Black Gate,2013,The Lord of the Rings,656.0,59.99,239.99
Pirate Ship Ambush,2013,The Lord of the Rings,756.0,99.99,324.95
Dol Guldur Ambush,2013,The Hobbit,217.0,19.99,79.95
Mirkwood Elf Army ,2013,The Hobbit,276.0,29.99,129.95
Lake-town Chase,2013,The Hobbit,470.0,49.99,120.0
Dol Guldur Battle,2013,The Hobbit,797.0,69.99,215.0
Kraang Lab Escape,2013,Teenage Mutant Ninja Turtles,90.0,12.99,62.0
Shredder's Dragon Bike,2013,Teenage Mutant Ninja Turtles,198.0,24.99,51.9682
Stealth Shell in Pursuit,2013,Teenage Mutant Ninja Turtles,162.0,19.99,67.15
Turtle Lair Attack,2013,Teenage Mutant Ninja Turtles,488.0,49.99,149.99
The Shellraiser Street Chase,2013,Teenage Mutant Ninja Turtles,690.0,59.99,59.0
Baxter Robot Rampage,2013,Teenage Mutant Ninja Turtles,397.0,39.99,85.0
Cavalry Builder Set,2013,The Lone Ranger,69.0,12.99,60.0
Comanche Camp,2013,The Lone Ranger,161.0,19.99,36.0
Stagecoach Escape,2013,The Lone Ranger,279.0,29.99,100.0
Colby City Showdown,2013,The Lone Ranger,587.0,49.99,120.0
Silver Mine Shootout,2013,The Lone Ranger,644.0,69.99,118.0
Constitution Train Chase,2013,The Lone Ranger,699.0,99.99,239.95
L-Motor,2013,Power Functions,1.0,13.99,37.99
Servo Motor,2013,Power Functions,1.0,24.99,105.99
Friends Brick Calendar,2013,Friends,140.0,14.99,25.8
Police Accessory Pack,2013,City,34.0,14.99,15.0
Fire Accessory Pack,2013,City,43.0,14.99,17.5
Samurai Accessory Set,2013,Ninjago,36.0,14.99,26.99
Maersk Line Triple-E,2014,Creator Expert,1518.0,149.99,275.0
MINI Cooper MK VII,2014,Creator Expert,1077.0,99.99,220.0
Parisian Restaurant,2014,Creator Expert,2469.0,159.99,299.1191
Fairground Mixer,2014,Creator Expert,1746.0,149.99,250.0
Santa's Workshop,2014,Creator Expert,883.0,69.99,205.68
Farm Animals,2014,Duplo,12.0,9.99,18.22
Sleeping Beauty's Fairy Tale,2014,Duplo,55.0,34.99,55.55
Toddler Build and Boat Fun,2014,Duplo,18.0,19.99,14.99
All-in-One-Pink-Box-of-Fun,2014,Duplo,65.0,29.99,36.0
Spider-Man: Spider-Car Pursuit,2014,Juniors,55.0,12.99,25.0
Turtle Lair,2014,Juniors,107.0,19.99,40.0
Batman: Defend the Batcave,2014,Juniors,150.0,29.99,57.0
The Eiffel Tower,2014,Architecture,321.0,34.99,80.0
Trevi Fountain,2014,Architecture,731.0,49.99,190.0
NASA Mars Science Laboratory Curiosity Rover,2014,Ideas,295.0,29.99,370.0
The End,2014,Minecraft,440.0,34.99,48.99
Ghostbusters Ecto-1,2014,Ideas,508.0,49.99,114.3024
Exo Suit,2014,Ideas,321.0,34.99,59.0863
Research Institute,2014,Ideas,165.0,19.99,33.7935
The Cave,2014,Minecraft,249.0,19.99,20.9383
The Farm,2014,Minecraft,262.0,29.99,55.0
The First Night,2014,Minecraft,408.0,39.99,84.99
Crafting Box,2014,Minecraft,518.0,49.99,87.992
The Ender Dragon,2014,Minecraft,634.0,69.99,159.99
Red Thunder,2014,Creator,66.0,4.99,13.584
Emerald Express,2014,Creator,56.0,4.99,14.99
Sunset Speeder,2014,Creator,119.0,12.99,17.99
Forest Animals,2014,Creator,272.0,19.99,25.0
Twinblade Adventures,2014,Creator,216.0,17.99,22.0
Furry Creatures,2014,Creator,285.0,19.99,38.76
Turbo Quad,2014,Creator,186.0,24.99,30.0
Yellow Racers,2014,Creator,328.0,29.99,50.0
Roaring Power,2014,Creator,374.0,29.99,20.0
Mountain Hut,2014,Creator,550.0,39.99,50.0
Bike Shop & Cafe,2014,Creator,1023.0,89.99,115.0
LEGO Valentine,2014,Seasonal,127.0,9.99,15.0
LEGO Easter,2014,Seasonal,106.0,9.99,27.0
Halloween Bat,2014,Seasonal,156.0,9.99,14.0
Thanksgiving Turkey,2014,Seasonal,125.0,9.99,25.0
Reindeer,2014,Seasonal,139.0,9.99,20.0
Snowman,2014,Seasonal,140.0,9.99,20.0
LEGO City Coin Bank,2014,City,122.0,14.99,16.1394
Buildable Brick Box 2x2,2014,Miscellaneous,203.0,16.99,30.0
Sunshine Harvest,2014,Friends,233.0,19.99,20.0
Mia's Lemonade Stand,2014,Friends,112.0,9.99,14.67
Stephanie's New Born Lamb,2014,Friends,78.0,9.99,17.48
Olivia's Ice Cream Bike,2014,Friends,98.0,9.99,20.0
Andrea's Mountain Hut,2014,Friends,119.0,9.99,14.456
Stephanie's Beach House,2014,Friends,369.0,39.99,68.0
Sunshine Ranch,2014,Friends,721.0,69.99,120.0
Turtle's Little Paradise,2014,Friends,43.0,3.99,14.98
Tiger's Beautiful Temple,2014,Friends,42.0,3.99,14.98
Penguin's Playground,2014,Friends,46.0,3.99,19.98
Macaw's Fountain,2014,Friends,39.0,3.99,8.616
Orangutan's Banana Tree,2014,Friends,37.0,3.99,7.0
Brown Bear's River,2014,Friends,37.0,3.99,6.3
Ariel's Amazing Treasures,2014,Disney,77.0,12.99,14.99
Ariel's Magical Kiss,2014,Disney,250.0,29.99,30.0
Cinderella's Dream Carriage,2014,Disney,274.0,29.99,32.384
Rapunzel's Creativity Tower,2014,Disney,299.0,39.99,65.0
Cinderella's Romantic Castle,2014,Disney,646.0,69.99,89.99
Heartlake News Van,2014,Friends,278.0,24.99,23.96
Heartlake Shopping Mall,2014,Friends,1120.0,109.99,118.0
Jungle Tree Sanctuary,2014,Friends,320.0,29.99,58.99
Flain,2014,Mixels,58.0,4.99,20.0
Vulk,2014,Mixels,69.0,4.99,15.0
Zorch,2014,Mixels,45.0,4.99,12.0
Krader,2014,Mixels,66.0,4.99,11.99
Seismo,2014,Mixels,50.0,4.99,19.98
Shuff,2014,Mixels,51.0,4.99,19.98
Teslo,2014,Mixels,54.0,4.99,22.0
Zaptor,2014,Mixels,61.0,4.99,23.0
Volectro,2014,Mixels,70.0,4.99,17.99
Slumbo,2014,Mixels,61.0,4.99,19.5
Lunk,2014,Mixels,51.0,4.99,12.99
Flurr,2014,Mixels,46.0,4.99,14.9312
Chomly,2014,Mixels,68.0,4.99,15.0
Gobba,2014,Mixels,57.0,4.99,15.0
Jawg,2014,Mixels,61.0,4.99,18.0
Kraw,2014,Mixels,70.0,4.99,18.0
Tentro,2014,Mixels,69.0,4.99,3.205
Balk,2014,Mixels,68.0,4.99,15.0
Glomp,2014,Mixels,64.0,4.99,9.19
Glurt,2014,Mixels,62.0,4.99,9.49
Torts,2014,Mixels,48.0,4.99,9.19
Footi,2014,Mixels,72.0,4.99,13.992
Scorpi,2014,Mixels,70.0,4.99,15.0
Hoogi,2014,Mixels,69.0,4.99,15.0
Mesmo,2014,Mixels,64.0,4.99,9.95
Magnifo,2014,Mixels,61.0,4.99,8.99
Wizwuz,2014,Mixels,70.0,4.99,10.0
Twin-rotor Helicopter,2014,Technic,145.0,12.99,18.783
Snowmobile,2014,Technic,186.0,19.99,17.0
Hot Rod,2014,Technic,414.0,39.99,64.97
Construction Crew,2014,Technic,833.0,69.99,74.6774
Container Truck,2014,Technic,948.0,79.99,135.0
Cargo Plane,2014,Technic,1297.0,139.99,299.99
Black Champion Racer,2014,Technic,137.0,19.99,50.0
Desert Racer,2014,Technic,148.0,19.99,23.08
Bulldozer,2014,Technic,617.0,49.99,128.0173
Customised Pick-Up Truck,2014,Technic,1063.0,99.99,164.95
Volvo L350F Wheel Loader,2014,Technic,1636.0,249.99,332.8305
JAW Beast vs. STORMER,2014,HERO Factory,49.0,9.99,32.822
EVO XL Machine,2014,HERO Factory,193.0,24.99,90.0
BULK Drill Machine,2014,HERO Factory,113.0,14.99,15.0
Arctic Snowmobile,2014,City,44.0,6.99,12.0
Arctic Ice Crawler,2014,City,113.0,14.99,20.0
Arctic Helicrane,2014,City,262.0,39.99,60.0
Arctic Base Camp,2014,City,733.0,89.99,148.4806
Crook Pursuit,2014,City,38.0,6.99,12.0
High Speed Police Chase,2014,City,110.0,19.99,25.0
Prisoner Transporter,2014,City,196.0,24.99,73.1956
Mobile Police Unit,2014,City,375.0,44.99,65.0
Police Patrol,2014,City,408.0,44.99,93.5
Helicopter Surveillance,2014,City,528.0,74.99,68.82
Police Station,2014,City,854.0,99.99,159.99
Police Dog Unit,2014,City,249.0,29.99,55.0
Helicopter Transporter,2014,City,382.0,44.99,59.99
Train Station,2014,City,423.0,64.99,124.99
High-speed Passenger Train,2014,City,610.0,149.99,185.0
Cargo Train,2014,City,888.0,199.99,250.0
Race Car,2014,City,100.0,9.99,20.0
Light Repair Truck,2014,City,95.0,9.99,25.191
Monster Truck,2014,City,78.0,9.99,17.0
Tow Truck,2014,City,227.0,19.99,73.99
Camper Van,2014,City,195.0,19.99,59.4596
SUV with Watercraft,2014,City,219.0,19.99,30.0
Logging Truck,2014,City,228.0,19.99,74.99
Auto Transporter,2014,City,350.0,29.99,64.99
Airport Fire Truck,2014,City,326.0,29.99,64.0
City Advent Calendar,2014,City,218.0,29.99,41.99
Arctic Supply Plane,2014,City,374.0,49.99,140.0
Lion Legend Beast,2014,Legends of Chima,120.0,9.99,24.99
Eagle Legend Beast,2014,Legends of Chima,104.0,9.99,18.75
Gorilla Legend Beast,2014,Legends of Chima,106.0,9.99,25.0
Crocodile Legend Beast,2014,Legends of Chima,121.0,9.99,24.99
Wolf Legend Beast,2014,Legends of Chima,110.0,9.99,24.99
Braptor's Wing Striker,2014,Legends of Chima,146.0,14.99,16.05
Lavertus' Twin Blade,2014,Legends of Chima,183.0,19.99,21.25
Sparratus' Spider Stalker,2014,Legends of Chima,292.0,24.99,34.0
Scorm's Scorpion Stinger,2014,Legends of Chima,434.0,39.99,92.792
Spinlyn's Cavern,2014,Legends of Chima,407.0,39.99,55.0
Lavertus' Outland Base,2014,Legends of Chima,684.0,59.99,75.0
Banana Bash,2014,Legends of Chima,120.0,12.99,13.85
Bat Strike,2014,Legends of Chima,97.0,12.99,14.99
Web Dash,2014,Legends of Chima,78.0,12.99,18.99
Sky Launch,2014,Legends of Chima,111.0,12.99,20.0
Stinger Duel,2014,Legends of Chima,85.0,19.99,54.99
Vardy's Ice Vulture Glider,2014,Legends of Chima,217.0,19.99,29.61
Eris' Fire Eagle Flyer,2014,Legends of Chima,330.0,29.99,25.0
Sir Fangar's Sabre-Tooth Walker,2014,Legends of Chima,415.0,39.99,36.3938
Laval's Fire Lion,2014,Legends of Chima,450.0,49.99,85.294
Maula's Ice Mammoth Stomper,2014,Legends of Chima,604.0,89.99,124.99
Scorching Blades,2014,Legends of Chima,77.0,12.99,12.09
Flaming Claws,2014,Legends of Chima,74.0,12.99,10.0
Frozen Spikes,2014,Legends of Chima,77.0,12.99,13.5
Inferno Pit,2014,Legends of Chima,74.0,12.99,13.5
Fire vs. Ice,2014,Legends of Chima,102.0,19.99,18.222
Riverside Raid,2014,Ultra Agents,88.0,11.99,16.136
Tremor Track Infiltration,2014,Ultra Agents,241.0,19.99,33.97
Infearno Interception,2014,Ultra Agents,313.0,29.99,40.0
Toxikita's Toxic Meltdown,2014,Ultra Agents,429.0,39.99,44.99
Hurricane Heist,2014,Ultra Agents,589.0,69.99,46.0
Ultra Agents Mission HQ,2014,Ultra Agents,1060.0,99.99,149.3116
Hover Hunter,2014,Ninjago,79.0,11.99,29.8623
Kai Fighter,2014,Ninjago,196.0,19.99,54.99
Thunder Raider,2014,Ninjago,334.0,29.99,89.991
NinjaCopter,2014,Ninjago,516.0,59.99,107.991
Nindroid MechDragon,2014,Ninjago,691.0,89.99,146.9279
Battle for Ninjago City,2014,Ninjago,1223.0,119.99,215.0
Getaway Glider,2014,The LEGO Movie,104.0,12.99,27.0
Melting Room,2014,The LEGO Movie,122.0,12.99,20.44
Bad Cop's Pursuit,2014,The LEGO Movie,314.0,29.99,37.3279
Cloud Cuckoo Palace,2014,The LEGO Movie,197.0,19.99,25.0
Ice Cream Machine,2014,The LEGO Movie,344.0,29.99,35.0
Trash Chomper,2014,The LEGO Movie,389.0,29.99,47.99
Castle Cavalry,2014,The LEGO Movie,424.0,29.99,43.99
MetalBeard's Duel,2014,The LEGO Movie,412.0,34.99,105.0
Super Cycle Chase,2014,The LEGO Movie,514.0,49.99,59.0277
Lord Business' Evil Lair,2014,The LEGO Movie,738.0,69.99,65.0
MetalBeard's Sea Cow,2014,The LEGO Movie,2741.0,249.99,390.308
The Flying Flusher,2014,The LEGO Movie,351.0,29.99,37.0
Creative Ambush,2014,The LEGO Movie,473.0,39.99,37.99
Rescue Reinforcements,2014,The LEGO Movie,859.0,69.99,88.935
Emmet's Construct-o-Mech,2014,The LEGO Movie,708.0,59.99,124.8069
Super Secret Police Dropship,2014,The LEGO Movie,854.0,79.99,103.99
"Benny's Spaceship, Spaceship, SPACESHIP!",2014,The LEGO Movie,940.0,99.99,199.9708
The Simpsons House,2014,The Simpsons,2523.0,199.99,493.8367
Clone Turbo Tank Microfighter,2014,Star Wars,96.0,9.99,75.0
AAT Microfighter,2014,Star Wars,95.0,9.99,23.16
Millennium Falcon Microfighter,2014,Star Wars,94.0,9.99,26.99
TIE Interceptor Microfighter,2014,Star Wars,92.0,9.99,23.99
X-wing Fighter Microfighter,2014,Star Wars,97.0,9.99,33.99
Star Destroyer Microfighter,2014,Star Wars,97.0,9.99,23.99
Death Star Troopers,2014,Star Wars,102.0,12.99,18.0
Kashyyyk Troopers,2014,Star Wars,99.0,12.99,78.5179
Utapau Troopers,2014,Star Wars,83.0,12.99,96.1196
Battle on Saleucami,2014,Star Wars,183.0,14.99,74.99
Jedi Interceptor,2014,Star Wars,223.0,24.99,60.0
V-wing Starfighter,2014,Star Wars,201.0,24.99,80.0
General Grievous' Wheel Bike,2014,Star Wars,261.0,24.99,115.0
Vulture Droid,2014,Star Wars,205.0,24.99,90.0
Droid Gunship,2014,Star Wars,439.0,49.99,139.99
AT-AP,2014,Star Wars,717.0,59.99,127.5
Droid Tri-Fighter,2014,Star Wars,262.0,29.99,124.99
Republic AV-7 Anti-Vehicle Cannon,2014,Star Wars,434.0,39.99,270.0
Coruscant Police Gunship,2014,Star Wars,481.0,49.99,348.0
The Phantom,2014,Star Wars,234.0,24.99,157.99
Snowspeeder,2014,Star Wars,278.0,29.99,81.7569
B-Wing,2014,Star Wars,448.0,49.99,225.0
Jedi Scout Fighter,2014,Star Wars,490.0,59.99,162.6994
Mos Eisley Cantina,2014,Star Wars,615.0,69.99,129.99
The Ghost,2014,Star Wars,929.0,89.99,650.0
AT-AT,2014,Star Wars,1137.0,109.99,160.5563
Imperial Star Destroyer,2014,Star Wars,1359.0,129.99,330.0
Star Wars Advent Calendar,2014,Star Wars,274.0,39.99,99.99
MTT,2014,Star Wars,954.0,89.99,300.48
Sandcrawler,2014,Star Wars,3296.0,299.99,580.0
Batman: The Penguin Face off,2014,DC Comics Super Heroes,136.0,12.99,28.0
Batman: Man-Bat Attack,2014,DC Comics Super Heroes,184.0,19.99,39.95
Batman: The Riddler Chase,2014,DC Comics Super Heroes,304.0,29.99,44.99
Batman: The Joker Steam Roller,2014,DC Comics Super Heroes,486.0,49.99,38.99
Spider-Trike vs. Electro,2014,Marvel Super Heroes,70.0,12.99,26.9
Doc Ock Truck Heist,2014,Marvel Super Heroes,237.0,19.99,50.0
Spider-Helicopter Rescue,2014,Marvel Super Heroes,299.0,44.99,49.99
Avengers: Hulk Lab Smash,2014,Marvel Super Heroes,398.0,49.99,119.95
Starblaster Showdown ,2014,Marvel Super Heroes,196.0,19.99,40.0
Knowhere Escape Mission ,2014,Marvel Super Heroes,433.0,39.99,65.0
The Milano Spaceship Rescue,2014,Marvel Super Heroes,665.0,74.99,174.95
X-Men vs. The Sentinel,2014,Marvel Super Heroes,336.0,49.99,160.0
The Tumbler,2014,DC Comics Super Heroes,1869.0,199.99,235.6
Witch-King Battle,2014,The Hobbit,101.0,14.99,70.9983
Attack on Lake-town,2014,The Hobbit,313.0,29.99,98.091
The Battle of Five Armies,2014,The Hobbit,472.0,59.99,246.4575
The Lonely Mountain,2014,The Hobbit,866.0,129.99,500.0
Turtle Van Takedown,2014,Teenage Mutant Ninja Turtles,368.0,39.99,100.0
Big Rig Snow Getaway,2014,Teenage Mutant Ninja Turtles,741.0,69.99,125.0
Turtle Lair Invasion,2014,Teenage Mutant Ninja Turtles,888.0,99.99,159.99
Karai Bike Escape,2014,Teenage Mutant Ninja Turtles,88.0,12.99,24.99
Mutation Chamber Unleashed,2014,Teenage Mutant Ninja Turtles,196.0,24.99,63.75
T-Rawket Sky Strike,2014,Teenage Mutant Ninja Turtles,286.0,34.99,59.2775
Turtle Sub Undersea Chase,2014,Teenage Mutant Ninja Turtles,684.0,59.99,99.99
Shredder's Lair Rescue,2014,Teenage Mutant Ninja Turtles,478.0,49.99,145.0
Detective's Office,2015,Creator Expert,2262.0,159.99,490.0
Ferris Wheel,2015,Creator Expert,2464.0,199.99,366.322
Ferrari F40,2015,Creator Expert,1158.0,99.99,315.0
Winter Toy Shop,2015,Creator Expert,898.0,79.99,200.0
Fire Boat,2015,Duplo,19.0,14.99,25.0
Fire Truck,2015,Duplo,26.0,24.99,28.5
Birthday Parade,2015,Duplo,24.0,24.99,16.8
Beach Trip,2015,Juniors,74.0,9.99,26.5125
Family House,2015,Juniors,226.0,29.99,44.99
Creative Bricks,2015,Classic,221.0,16.99,14.0
Creative Supplement,2015,Classic,303.0,19.99,22.49
Creative Supplement Bright,2015,Classic,303.0,19.99,10.0
Medium Creative Brick Box,2015,Classic,484.0,34.99,24.98
Large Creative Brick Box,2015,Classic,790.0,59.99,49.99
32x32 Sand Baseplate,2015,Classic,1.0,7.99,20.0
32x32 Green Baseplate,2015,Classic,1.0,7.99,5.58
48x48 Grey Baseplate,2015,Classic,1.0,14.99,7.0
Lincoln Memorial,2015,Architecture,274.0,29.99,109.99
"Flatiron Building, New York",2015,Architecture,471.0,39.99,98.97
Louvre,2015,Architecture,695.0,59.99,129.75
The Dungeon,2015,Minecraft,219.0,19.99,40.0
The Desert Outpost,2015,Minecraft,519.0,59.99,60.0
The Nether Fortress,2015,Minecraft,571.0,79.99,119.9
Birds,2015,Ideas,580.0,44.99,138.0
The Big Bang Theory,2015,Ideas,484.0,59.99,209.44
WALL-E,2015,Ideas,677.0,59.99,293.7948
Doctor Who,2015,Ideas,623.0,59.99,159.59
Blue Racer,2015,Creator,67.0,4.99,15.64
Sea Plane,2015,Creator,53.0,4.99,9.99
Cargo Heli,2015,Creator,132.0,9.99,17.5
Rainforest Animals,2015,Creator,215.0,14.99,42.0
Red Creatures,2015,Creator,221.0,14.99,25.0
Vehicle Transporter,2015,Creator,264.0,24.99,60.0
Future Flyer,2015,Creator,237.0,24.99,75.0
Beach Hut,2015,Creator,286.0,29.99,30.0
Toy & Grocery Shop,2015,Creator,466.0,39.99,74.99
Adventure Vehicles,2015,Creator,282.0,24.99,14.8087
Changing Seasons,2015,Creator,536.0,49.99,95.0
Blue Power Jet,2015,Creator,608.0,69.99,150.0
Valentine's Day Dinner,2015,Seasonal,114.0,9.99,24.99
Painting Easter Eggs,2015,Seasonal,153.0,9.99,13.99
